Project Name,Project ID,Project Type,Extension Type,Extension Version,Hub ID,Root Folder ID,Self Link,Web View Link
TR1990_N00000749,b.43d42b4b-9d3c-42d6-b00f-7802c99409f7,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.Ag8oh4x7SEqDb-jbIb1ceA,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.43d42b4b-9d3c-42d6-b00f-7802c99409f7,https://acc.autodesk.eu/docs/files/projects/43d42b4b-9d3c-42d6-b00f-7802c99409f7
TR1504_N00000913,b.196e7804-d9df-4f49-8daf-22aa51ac3a1a,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.b8WaHlBAS3yAZ4de61te4A,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.196e7804-d9df-4f49-8daf-22aa51ac3a1a,https://acc.autodesk.eu/docs/files/projects/196e7804-d9df-4f49-8daf-22aa51ac3a1a
TR1550_N00000596,b.0d5b4bf7-22bc-4d3b-8151-1f47e95acbd1,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.qs6FxWwRTrGje6a4i1ZABg,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.0d5b4bf7-22bc-4d3b-8151-1f47e95acbd1,https://acc.autodesk.eu/docs/files/projects/0d5b4bf7-22bc-4d3b-8151-1f47e95acbd1
TR1730_N00000772,b.a6b9eb9a-a680-4e00-b77c-d0ecc9ac81ac,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.3pfAVFesT-O5gRHaIY4cJA,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.a6b9eb9a-a680-4e00-b77c-d0ecc9ac81ac,https://acc.autodesk.eu/docs/files/projects/a6b9eb9a-a680-4e00-b77c-d0ecc9ac81ac
TR2100_N00001066,b.d90e1595-37a9-4910-98c7-1d50b78b489f,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.JhSunuriQC604kVe_zpi6A,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.d90e1595-37a9-4910-98c7-1d50b78b489f,https://acc.autodesk.eu/docs/files/projects/d90e1595-37a9-4910-98c7-1d50b78b489f
S099_N00000907,b.09934572-beaf-4212-a209-84bc2e4f9e62,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.Q2A34_8kSl27IQ7DWHQWXg,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.09934572-beaf-4212-a209-84bc2e4f9e62,https://acc.autodesk.eu/docs/files/projects/09934572-beaf-4212-a209-84bc2e4f9e62
S115_N00000934,b.984a329d-6320-4575-9714-c458c4455f90,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.PMN3w0peRlCNuFPIY3VnAw,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.984a329d-6320-4575-9714-c458c4455f90,https://acc.autodesk.eu/docs/files/projects/984a329d-6320-4575-9714-c458c4455f90
TR1570_N00000836,b.0a5ad2b5-14ef-4592-9cb3-ba84ff9b6044,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.eql0VZ_uQim21vo_9l7m_g,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.0a5ad2b5-14ef-4592-9cb3-ba84ff9b6044,https://acc.autodesk.eu/docs/files/projects/0a5ad2b5-14ef-4592-9cb3-ba84ff9b6044
S027_N00000939,b.8e74976c-1ab0-4509-893d-ea1ff0205734,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.FHgr_u5_T_yH7YLJXeEkXw,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.8e74976c-1ab0-4509-893d-ea1ff0205734,https://acc.autodesk.eu/docs/files/projects/8e74976c-1ab0-4509-893d-ea1ff0205734
S043_N00001703,b.a3c933b8-9914-493e-a225-76c9e1bac08d,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.Q6v2-PTIS9-8iWEGg7KG5A,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.a3c933b8-9914-493e-a225-76c9e1bac08d,https://acc.autodesk.eu/docs/files/projects/a3c933b8-9914-493e-a225-76c9e1bac08d
